country, type, prefix, voice price, sms price
Netherlands,Vodafone Mobile,31652,0.08,0.075
Netherlands,KPN-M Mobile,31653,0.08,0.075
Netherlands,Vodafone Mobile,31654,0.08,0.075
Netherlands,Vodafone Mobile,31655,0.08,0.075
Netherlands,Mobile,31656,0.12,0.075
Netherlands,Mobile,316560,0.11,0.075
Netherlands,Mobile,316561,0.11,0.075
Netherlands,KPN-M Mobile,31657,0.08,0.075
Netherlands,Mobile,31658,0.12,0.075
Netherlands,Mobile,31659,0.12,0.075
Netherlands,Mobile,3166,0.12,0.075
Netherlands,KPN Mobile,31665,0.09,0.075
Netherlands,Mobile,3167,0.12,0.075
Netherlands,Netherlands,3168,0.12,0.075
Netherlands,T-Mobile,31681,0.09,0.075
Netherlands,KPN-M Mobile,31682,0.08,0.075
Netherlands,KPN-M Mobile,31683,0.08,0.075
Netherlands,Mobile,3169,0.12,0.075
Belgium,Belgium,32,0.049,0.085
Belgium,Telenet,321020,0.05,0.085
Belgium,Belgium,321022,0.05,0.085
Belgium,Belgium,321023,0.05,0.085
Belgium,Belgium,321024,0.05,0.085
Belgium,Belgium,321038,0.05,0.085
Belgium,Olo,32104,0.05,0.085
Belgium,Belgium,321050,0.05,0.085
Belgium,Belgium,321051,0.05,0.085
Belgium,Belgium,321055,0.05,0.085
Belgium,Belgium,321059,0.05,0.085
